,city,idx,url
282,East St,7398,http://aqicn.org/city/usa/illinois/east-st.-louis/
283,Normal,9513,http://aqicn.org/city/usa/illinois/normal/
284,West Union,7399,http://aqicn.org/city/usa/illinois/west-union/
285,Braidwd,7400,http://aqicn.org/city/usa/illinois/braidwd/
286,Decatur,7401,http://aqicn.org/city/usa/illinois/decatur/
287,Alsip,7402,http://aqicn.org/city/usa/illinois/alsip/
288,Cary,7403,http://aqicn.org/city/usa/illinois/cary/
289,Northbrk,7404,http://aqicn.org/city/usa/illinois/northbrk/
290,New Albany,7405,http://aqicn.org/city/usa/indiana/new-albany/
291,Cedrbluf,7406,http://aqicn.org/city/usa/kansas/cedrbluf/
292,WHlthDpt,9189,http://aqicn.org/city/usa/kansas/whlthdpt/
293,KNI,9514,http://aqicn.org/city/usa/kansas/kni-topeka/
294,kc,7407,http://aqicn.org/city/usa/kansas/wy/kc/
295,Heritage Park,9190,http://aqicn.org/city/usa/kansas/heritage-park/
296,Haz2,7408,http://aqicn.org/city/usa/kentucky/haz2/
297,Cannons Lane,7409,http://aqicn.org/city/usa/kentucky/cannons-lane/
298,Watson,7410,http://aqicn.org/city/usa/kentucky/watson/
299,Mammoth Cave,7411,http://aqicn.org/city/usa/kentucky/mammoth-cave-np/
300,Baskett,7412,http://aqicn.org/city/usa/kentucky/baskett/
301,Etown2,7413,http://aqicn.org/city/usa/kentucky/etown2/
302,Owenpri,7414,http://aqicn.org/city/usa/kentucky/owenpri/
303,Southwick Community,7415,http://aqicn.org/city/usa/kentucky/southwick-community-center/
304,Nku,7416,http://aqicn.org/city/usa/kentucky/nku/
305,Fair Hill,7417,http://aqicn.org/city/usa/maryland/fair-hill/
306,Oldtown,7418,http://aqicn.org/city/usa/maryland/oldtown/
307,Rockville,7419,http://aqicn.org/city/usa/maryland/rockville/
308,Horn Point,7420,http://aqicn.org/city/usa/maryland/horn-point/
309,Piney Run,7421,http://aqicn.org/city/usa/maryland/piney-run/
310,HU,7422,http://aqicn.org/city/usa/maryland/hu-beltsville/
311,Millington,7423,http://aqicn.org/city/usa/maryland/millington/
312,Padonia,8700,http://aqicn.org/city/usa/maryland/padonia/
313,Edgewood,7424,http://aqicn.org/city/usa/maryland/edgewood/
314,Hernando,7429,http://aqicn.org/city/usa/mississippi/hernando/
315,Jaxfs19,7430,http://aqicn.org/city/usa/mississippi/jaxfs19/
316,Hattiesburg,7431,http://aqicn.org/city/usa/mississippi/hattiesburg/
317,Jackson NCORE,7432,http://aqicn.org/city/usa/mississippi/jackson-ncore/
318,Durham Armory,7433,http://aqicn.org/city/usa/north-carolina/durham-armory/
319,Dillard,7434,http://aqicn.org/city/usa/north-carolina/dillard/
320,Cherrygr,7435,http://aqicn.org/city/usa/north-carolina/cherrygr/
321,Clemmons Middle,7436,http://aqicn.org/city/usa/north-carolina/clemmons-middle/
322,Grier Middle,7437,http://aqicn.org/city/usa/north-carolina/grier-middle-school/
323,Montclaire,7438,http://aqicn.org/city/usa/north-carolina/montclaire/
324,Bded,7439,http://aqicn.org/city/usa/north-carolina/bded/
325,Hattieaven,7440,http://aqicn.org/city/usa/north-carolina/hattieaven/
326,W Owen,7441,http://aqicn.org/city/usa/north-carolina/w-owen-sch/
327,Williston,7442,http://aqicn.org/city/usa/north-dakota/williston/
328,Hannover,7443,http://aqicn.org/city/usa/north-dakota/hannover/
329,Lostwood NWR,7444,http://aqicn.org/city/usa/north-dakota/lostwood-nwr/
330,Bismarck Residential,7445,http://aqicn.org/city/usa/north-dakota/bismarck-residential/
331,Fargo NW,7446,http://aqicn.org/city/usa/north-dakota/fargo-nw/
332,Miller State,7447,http://aqicn.org/city/usa/new-hampshire/miller-state-park/
333,Keene,7448,http://aqicn.org/city/usa/new-hampshire/keene/
334,Portsmouth,7583,http://aqicn.org/city/usa/new-hampshire/portsmouth/
335,Londonderry ,7449,http://aqicn.org/city/usa/new-hampshire/londonderry-moose-hill/
336,Erie,7450,http://aqicn.org/city/usa/ohio/erie/
337,Preble County,7451,http://aqicn.org/city/usa/ohio/preble-county/
338,Painesville ,7452,http://aqicn.org/city/usa/ohio/painesville-jfs/
339,Sycamore,7453,http://aqicn.org/city/usa/ohio/sycamore/
340,Colerain,7454,http://aqicn.org/city/usa/ohio/colerain/
341,Taft,7455,http://aqicn.org/city/usa/ohio/taft/
342,Barr School,7456,http://aqicn.org/city/usa/ohio/barr-school/
343,Columbus ,7457,http://aqicn.org/city/usa/ohio/columbus-fairgrounds/
344,Canton,7458,http://aqicn.org/city/usa/ohio/canton/
345,Lebanon,7459,http://aqicn.org/city/usa/ohio/lebanon/
346,Batavia,7460,http://aqicn.org/city/usa/ohio/batavia/
347,Youngstown ,7461,http://aqicn.org/city/usa/ohio/youngstown-head-start/
348,G,7462,http://aqicn.org/city/usa/ohio/g.t.craig/
349,Dayton ,7463,http://aqicn.org/city/usa/ohio/dayton-sinclair/
350,Steubenville,7464,http://aqicn.org/city/usa/ohio/steubenville/
351,East High,7465,http://aqicn.org/city/usa/ohio/east-high-school/
352,Yankee Road,7466,http://aqicn.org/city/usa/ohio/yankee-road/
353,Amanda  Elementary,7467,http://aqicn.org/city/usa/ohio/amanda--elementary/
354,Chippewa Lake,7468,http://aqicn.org/city/usa/ohio/chippewa-lake/
355,Yellow Springs,7469,http://aqicn.org/city/usa/ohio/yellow-springs/
356,Springfield PM,7470,http://aqicn.org/city/usa/ohio/springfield-pm/
357,Lima,7471,http://aqicn.org/city/usa/ohio/lima/
358,Warren ,7472,http://aqicn.org/city/usa/ohio/warren-laird-ave./
359,Ironton ,7473,http://aqicn.org/city/usa/ohio/ironton-odot/
360,Roland,7474,http://aqicn.org/city/usa/oklahoma/roland/
361,Miami,7475,http://aqicn.org/city/usa/oklahoma/miami/
362,North OKC,7584,http://aqicn.org/city/usa/oklahoma/north-okc/
363,Stilwell Castnet,7476,http://aqicn.org/city/usa/oklahoma/stilwell-castnet---ncore/
364,Narragansett,7477,http://aqicn.org/city/usa/rhode-island/narragansett/
365,E Providence,7478,http://aqicn.org/city/usa/rhode-island/e-providence/
366,Providence,7479,http://aqicn.org/city/usa/rhode-island/providence/
367,Parklane,9515,http://aqicn.org/city/usa/south-carolina/parklane/
368,Greenville,7664,http://aqicn.org/city/usa/south-carolina/greenville-esc/
369,Long Creek,7480,http://aqicn.org/city/usa/south-carolina/long-creek/
370,Chesterfield,7481,http://aqicn.org/city/usa/south-carolina/chesterfield/
371,TK Gregg,7482,http://aqicn.org/city/usa/south-carolina/tk-gregg/
372,Trenton,7483,http://aqicn.org/city/usa/south-carolina/trenton/
373,Williams Middle,7484,http://aqicn.org/city/usa/south-carolina/williams-middle-school/
374,Ashton,7485,http://aqicn.org/city/usa/south-carolina/ashton/
